row_id,image,prob_edge,N_cand,label
r00123,1570,0.1524,4,1
r00124,1570,0.1522,4,0
r00125,1653,0.2168,15,1
r00126,1653,0.1505,15,0
r00127,1653,0.4399,15,0
r00128,1653,0.1597,15,0
r00129,1679,0.1513,10,0
r00130,1679,0.2078,10,1
r00131,1698,0.1713,13,0
r00132,1698,0.1527,13,0
r00133,1698,0.3737,13,0
r00134,1698,0.1535,13,1
r00135,1698,0.1426,13,0
r00136,1749,0.5381,7,1
r00137,1749,0.2892,7,1
r00138,1814,0.2174,25,0
r00139,1814,0.1789,25,0
r00140,1814,0.2808,25,0
r00141,1814,0.3897,25,0
r00142,1814,0.8906,25,0
r00143,1814,0.8464,25,0
r00144,1814,0.1894,25,1
r00145,1814,0.4864,25,0
r00146,1814,0.179,25,0
r00147,1814,0.4544,25,0
r00148,1814,0.1706,25,0
r00149,1814,0.2174,25,1
r00150,1814,0.1789,25,1
r00151,1814,0.2808,25,0
r00152,1814,0.3897,25,0
r00153,1814,0.8906,25,1
r00154,1814,0.8464,25,0
r00155,1814,0.1894,25,0
r00156,1814,0.4864,25,0
r00157,1814,0.179,25,0
r00158,1814,0.4544,25,0
r00159,1814,0.1706,25,0
r00160,1925,0.1968,13,0
r00161,1925,0.3504,13,0
r00162,1925,0.4786,13,0
r00163,1925,0.9955,13,1
r00164,1925,0.1576,13,1
r00165,1925,0.9733,13,1
r00166,1925,0.392,13,0
r00167,1935,0.3872,12,1
r00168,1935,0.1443,12,0
r00169,1935,0.3401,12,0
r00170,1963,0.146,13,0
r00171,1963,0.2443,13,0
r00172,1963,0.4731,13,0
r00173,1963,0.4516,13,1
r00174,1963,0.1446,13,0
r00175,1994,0.6941,10,1
r00176,1994,0.1437,10,0
r00177,1997,0.2454,20,0
r00178,1997,0.3856,20,0
r00179,1997,0.2827,20,0
r00180,1997,0.1516,20,1
r00181,1997,0.1422,20,0
r00182,1997,0.1422,20,0
r00183,1997,0.145,20,0
r00184,1997,0.2808,20,1
r00185,1998,0.1439,17,0
r00186,1998,0.999,17,0
r00187,1998,0.4744,17,0
r00188,1998,0.2957,17,1
r00189,1998,0.1475,17,0
r00190,1998,0.6599,17,0
r00191,1998,0.1763,17,0
r00192,1998,0.162,17,0
r00193,1998,0.2522,17,1
r00194,1998,0.1439,17,0
r00195,1998,0.999,17,1
r00196,1998,0.4744,17,0
r00197,1998,0.2957,17,0
r00198,1998,0.1475,17,1
r00199,1998,0.6599,17,1
r00200,1998,0.1763,17,0
r00201,1998,0.162,17,0
r00202,1998,0.2522,17,1
r00203,2004,0.5128,47,0
r00204,2004,0.9332,47,0
r00205,2004,0.2569,47,0
r00206,2004,0.1925,47,0
r00207,2004,0.2521,47,0
r00208,2004,0.2124,47,0
r00209,2004,0.1478,47,0
r00210,2004,0.142,47,0
r00211,2004,0.9641,47,0
r00212,2005,0.1915,24,0
r00213,2005,0.9243,24,0
r00214,2005,0.1789,24,0
r00215,2005,0.155,24,0
r00216,2005,0.1512,24,0
r00217,2005,0.1456,24,0
r00218,2005,0.1638,24,0
r00219,2005,0.2106,24,0
r00220,2005,0.245,24,0
r00221,2005,0.1423,24,0
r00222,2005,0.1471,24,1
r00223,2005,0.2554,24,1
r00224,2005,0.9494,24,1
r00225,2005,0.2436,24,0
r00226,2005,0.1433,24,0
r00227,2076,0.5995,19,0
r00228,2076,0.321,19,0
r00229,2076,0.1559,19,0
r00230,2076,0.3581,19,0
r00231,2076,0.5995,19,0
r00232,2076,0.321,19,0
r00233,2076,0.1559,19,1
r00234,2076,0.3581,19,0
r00235,2079,0.1533,31,0
r00236,2079,0.1649,31,0
r00237,2079,0.2609,31,0
r00238,2079,0.264,31,0
r00239,2079,0.1514,31,0
r00240,2079,0.1563,31,1
r00241,2079,0.1523,31,0
r00242,2079,0.1423,31,1
r00243,2079,0.1533,31,0
r00244,2079,0.1649,31,0
r00245,2079,0.2609,31,0
r00246,2079,0.264,31,0
r00247,2079,0.1514,31,0
r00248,2079,0.1563,31,1
r00249,2079,0.1523,31,0
r00250,2079,0.1423,31,1
r00251,2079,0.1533,31,0
r00252,2079,0.1649,31,0
r00253,2079,0.2609,31,0
r00254,2079,0.264,31,0
r00255,2079,0.1514,31,0
r00256,2079,0.1563,31,0
r00257,2079,0.1523,31,0
r00258,2079,0.1423,31,0
r00259,2107,0.1628,7,0
r00260,2107,0.9942,7,0
r00261,2148,0.1473,16,1
r00262,2148,0.1957,16,0
r00263,2165,0.1848,18,0
r00264,2165,0.1449,18,0
r00265,2165,0.1576,18,0
r00266,2165,0.9106,18,0
r00267,2165,0.2675,18,0
r00268,2165,0.2342,18,0
r00269,2165,0.1864,18,0
r00270,2165,0.2927,18,0
r00271,2165,0.1581,18,0
r00272,2165,0.1497,18,0
r00273,2165,0.2149,18,1
r00274,2165,0.1848,18,0
r00275,2165,0.1449,18,0
r00276,2165,0.1576,18,0
r00277,2165,0.9106,18,0
r00278,2165,0.2675,18,1
r00279,2165,0.2342,18,0
r00280,2165,0.1864,18,0
r00281,2165,0.2927,18,0
r00282,2165,0.1581,18,1
r00283,2165,0.1497,18,1
r00284,2165,0.2149,18,0
r00285,2165,0.1848,18,0
r00286,2165,0.1449,18,0
r00287,2165,0.1576,18,0
r00288,2165,0.9106,18,0
r00289,2165,0.2675,18,1
r00290,2165,0.2342,18,0
r00291,2165,0.1864,18,0
r00292,2165,0.2927,18,1
r00293,2165,0.1581,18,0
r00294,2165,0.1497,18,0
r00295,2165,0.2149,18,0
r00296,2173,0.1656,6,1
r00297,2206,0.1469,9,0
r00298,2206,0.1432,9,0
r00299,2206,0.1483,9,1
r00300,2206,0.8392,9,1
r00301,2217,0.1674,11,0
r00302,2217,0.1511,11,0
r00303,2217,0.2894,11,0
r00304,2217,0.152,11,0
r00305,2217,0.6241,11,1
r00306,2220,0.1529,17,1
r00307,2220,0.1429,17,0
r00308,2220,0.1425,17,0
r00309,2220,0.1428,17,0
r00310,2220,0.1427,17,1
r00311,2220,0.143,17,0
r00312,2220,0.1483,17,0
r00313,2220,0.3403,17,0
r00314,2220,0.1502,17,0
r00315,2220,0.1689,17,0
r00316,2220,0.1506,17,1
r00317,2221,0.1429,16,0
r00318,2221,0.148,16,0
r00319,2221,0.1492,16,1
r00320,2221,0.1448,16,0
r00321,2221,0.7175,16,0
r00322,2221,0.1435,16,0
r00323,2221,0.1429,16,0
r00324,2221,0.148,16,0
r00325,2221,0.1492,16,0
r00326,2221,0.1448,16,0
r00327,2221,0.7175,16,0
r00328,2221,0.1435,16,0
r00329,2281,0.1422,18,0
r00330,2281,0.3169,18,0
r00331,2281,0.1724,18,0
r00332,2281,0.2205,18,0
r00333,2281,0.1421,18,0
r00334,2281,0.3877,18,1
r00335,2281,0.1909,18,1
r00336,2281,0.1652,18,0
r00337,2281,0.1746,18,1
r00338,2281,0.1422,18,0
r00339,2281,0.3169,18,0
r00340,2281,0.1724,18,0
r00341,2281,0.2205,18,0
r00342,2281,0.1421,18,0
r00343,2281,0.3877,18,0
r00344,2281,0.1909,18,0
r00345,2281,0.1652,18,1
r00346,2281,0.1746,18,1
r00347,2282,0.1601,18,0
r00348,2282,0.1879,18,1
r00349,2282,0.205,18,1
r00350,2282,0.5578,18,0
r00351,2282,0.2407,18,1
r00352,2427,0.1852,8,0
r00353,2427,0.1457,8,0
r00354,2427,0.1828,8,1
r00355,2438,0.3435,11,1
r00356,2438,0.1447,11,0
r00357,2438,0.1736,11,0
r00358,2438,0.4035,11,0
r00359,2438,0.997,11,1
r00360,2438,0.149,11,1
r00361,2438,0.2213,11,1
r00362,2438,0.4884,11,0
r00363,2457,0.6205,5,1
r00364,2461,0.2175,14,1
r00365,2461,0.3659,14,0
r00366,2461,0.2056,14,0
r00367,2461,0.1533,14,0
r00368,2461,0.147,14,1
r00369,2461,0.1585,14,1
r00370,2461,0.1594,14,0
r00371,2484,0.1444,9,0
r00372,2484,0.837,9,0
r00373,2484,0.1498,9,1
r00374,2496,0.144,8,1
r00375,2496,0.2656,8,1
r00376,2496,0.1671,8,0
r00377,2499,0.1424,10,0
r00378,2499,0.9377,10,1
r00379,2521,0.6555,13,0
r00380,2521,0.8495,13,0
r00381,2521,0.9787,13,1
r00382,2521,0.1429,13,0
r00383,2521,0.1425,13,1
r00384,2521,0.856,13,0
r00385,2521,0.8526,13,1
r00386,2521,0.6555,13,0
r00387,2521,0.8495,13,0
r00388,2521,0.9787,13,0
r00389,2521,0.1429,13,0
r00390,2521,0.1425,13,0
r00391,2521,0.856,13,0
r00392,2521,0.8526,13,1
r00393,2552,0.2907,6,1
r00394,2552,0.4904,6,0
r00395,2552,0.6213,6,1
r00396,2553,0.4163,7,1
r00397,2553,0.6258,7,0
r00398,2562,0.9875,16,1
r00399,2562,0.1632,16,0
r00400,2562,0.7668,16,1
r00401,2562,0.212,16,0
r00402,2562,0.3824,16,0
r00403,2580,0.1853,6,0
r00404,2580,0.4265,6,0
r00405,2580,0.1535,6,0
r00406,2580,0.1752,6,1
r00407,2643,0.1524,15,0
r00408,2643,0.1483,15,0
r00409,2643,0.1497,15,0
r00410,2643,0.2725,15,1
r00411,2643,0.1438,15,1
r00412,2812,0.1586,9,0
r00413,2812,0.6141,9,1
r00414,2812,0.1453,9,0
r00415,2860,0.3061,7,1
r00416,2902,0.6545,9,1
r00417,2902,0.1534,9,1
r00418,2902,0.9648,9,1
r00419,2912,0.9474,6,0
r00420,2912,0.1641,6,1
r00421,2912,0.3037,6,0
r00422,2933,0.1608,8,0
r00423,2933,0.7871,8,1
r00424,2933,0.2578,8,1
r00425,2933,0.1571,8,1
r00426,2977,0.3499,11,0
r00427,2977,0.1629,11,0
r00428,2977,0.2771,11,0
r00429,3008,0.1444,18,0
r00430,3008,0.9471,18,0
r00431,3008,0.1679,18,1
r00432,3011,0.1875,27,1
r00433,3011,0.9796,27,1
r00434,3011,0.1448,27,0
r00435,3028,0.997,28,0
r00436,3028,0.4697,28,1
r00437,3028,0.1462,28,0
r00438,3028,0.1933,28,0
r00439,3028,0.997,28,0
r00440,3028,0.4697,28,1
r00441,3028,0.1462,28,0
r00442,3028,0.1933,28,0
r00443,3031,0.7961,25,1
r00444,3031,0.148,25,0
r00445,3031,0.1432,25,0
r00446,3031,0.9986,25,0
r00447,3031,0.1605,25,0
r00448,3031,0.161,25,0
r00449,3031,0.1647,25,1
r00450,3031,0.1457,25,0
r00451,3037,0.299,14,0
r00452,3037,0.1426,14,0
r00453,3056,0.4707,14,0
r00454,3056,0.4441,14,1
r00455,3056,0.5283,14,0
r00456,3056,0.1569,14,0
r00457,3058,0.2503,17,0
r00458,3058,0.2485,17,1
r00459,3058,0.1628,17,0
r00460,3058,0.443,17,1
r00461,3058,0.3557,17,0
r00462,3058,0.1548,17,0
r00463,3058,0.2503,17,0
r00464,3058,0.2485,17,1
r00465,3058,0.1628,17,0
r00466,3058,0.443,17,0
r00467,3058,0.3557,17,0
r00468,3058,0.1548,17,0
r00469,3111,0.1607,10,0
r00470,3113,0.4495,14,0
r00471,3113,0.1602,14,0
r00472,3113,0.1448,14,1
r00473,3113,0.2068,14,1
r00474,3113,0.2094,14,0
r00475,3113,0.9019,14,0
r00476,3149,0.1879,4,0
r00477,3149,0.902,4,1
r00478,3149,0.1433,4,0
r00479,3233,0.1446,10,0
r00480,3233,0.1424,10,0
r00481,3233,0.1465,10,1
r00482,3233,0.166,10,0
r00483,3233,0.2495,10,0
r00484,3233,0.457,10,0
r00485,3233,0.37,10,1
r00486,3281,0.9991,11,0
r00487,3281,0.3135,11,0
r00488,3328,0.1967,9,0
r00489,3328,0.1429,9,0
r00490,3328,0.5149,9,1
r00491,3328,0.4244,9,1
r00492,3328,0.2208,9,1
r00493,3331,0.9998,13,0
r00494,3331,0.9991,13,1
r00495,3331,0.1802,13,0
r00496,3336,0.2122,17,1
r00497,3336,0.3618,17,1
r00498,3336,0.2754,17,1
r00499,3336,0.411,17,1
r00500,3336,0.204,17,0
r00501,3348,0.1446,15,0
r00502,3348,0.1443,15,1
r00503,3348,0.8018,15,1
r00504,3366,0.2762,8,1
r00505,3366,0.148,8,0
r00506,3367,0.4107,6,1
r00507,3367,0.1435,6,0
r00508,3415,0.9011,6,1
r00509,3416,0.1587,11,0
r00510,3416,0.2762,11,1
r00511,3416,0.8986,11,1
r00512,3421,0.3098,16,0
r00513,3421,0.5787,16,1
r00514,3421,0.1453,16,0
r00515,3421,0.5161,16,1
r00516,3421,0.1639,16,1
r00517,3421,0.3098,16,0
r00518,3421,0.5787,16,1
r00519,3421,0.1453,16,1
r00520,3421,0.5161,16,1
r00521,3421,0.1639,16,1
r00522,3425,0.1429,8,0
r00523,3425,0.163,8,0
r00524,3425,0.1425,8,0
r00525,3425,0.344,8,0
r00526,3425,0.9937,8,0
r00527,3425,0.3038,8,0
r00528,3425,0.171,8,0
r00529,3425,0.1429,8,0
r00530,3425,0.163,8,0
r00531,3425,0.1425,8,0
r00532,3425,0.344,8,0
r00533,3425,0.9937,8,0
r00534,3425,0.3038,8,0
r00535,3425,0.171,8,0
r00536,3425,0.1429,8,0
r00537,3425,0.163,8,0
r00538,3425,0.1425,8,1
r00539,3425,0.344,8,0
r00540,3425,0.9937,8,0
r00541,3425,0.3038,8,0
r00542,3425,0.171,8,0
r00543,3524,0.1488,8,1
r00544,3524,0.1476,8,0
r00545,3524,0.1744,8,1
r00546,3524,0.1671,8,1
r00547,3569,0.1452,8,0
r00548,3569,0.1439,8,1
r00549,3601,0.1556,5,1
r00550,3601,0.1545,5,1
r00551,3621,0.1766,12,0
r00552,3621,0.2848,12,1
r00553,3720,0.1589,7,1
r00554,3720,0.9298,7,1
r00555,3728,0.8686,16,0
r00556,3728,0.1578,16,1
r00557,3728,0.1901,16,0
r00558,3728,0.217,16,0
r00559,3728,0.9998,16,1
r00560,3728,0.8686,16,0
r00561,3728,0.1578,16,1
r00562,3728,0.1901,16,0
r00563,3728,0.217,16,0
r00564,3728,0.9998,16,0
r00565,3745,0.1604,9,1
r00566,3745,0.885,9,1
r00567,3745,0.6096,9,1
r00568,3947,0.1438,5,1
r00569,3947,0.1426,5,1
r00570,4122,0.1637,8,1
r00571,4122,0.1887,8,1
r00572,4180,0.9617,14,1
r00573,4180,0.1647,14,0
r00574,4262,0.4249,5,1
r00575,4262,0.4516,5,0
r00576,4302,0.4566,4,1
r00577,4341,0.8545,14,1
r00578,4341,0.8633,14,0
r00579,4341,0.6476,14,1
r00580,4553,0.2796,9,0
r00581,4602,0.1713,6,0
r00582,4602,0.248,6,1
r00583,4613,0.1806,8,0
r00584,4613,0.1471,8,0
r00585,4613,0.1694,8,0
r00586,4613,0.2578,8,1
r00587,4639,0.1448,11,0
r00588,4639,0.5105,11,1
r00589,4716,0.1509,12,0
r00590,4716,0.1739,12,0
r00591,4716,0.8905,12,1
r00592,4716,0.149,12,1
r00593,4716,0.971,12,1
r00594,4780,0.1628,5,0
r00595,4780,0.5999,5,1
r00596,4780,0.8708,5,1
r00597,4987,0.1799,3,1
r00598,5007,0.1496,4,1
r00599,5021,0.1741,8,1
r00600,5021,0.8135,8,0
r00601,5021,0.1455,8,0
r00602,5021,0.1626,8,1
r00603,5097,0.143,4,1
r00604,5127,0.6145,6,1
r00605,5133,0.3087,6,1
r00606,5133,0.1501,6,0
r00607,5135,0.1545,8,0
r00608,5135,0.1437,8,0
r00609,5135,0.5343,8,1
r00610,5369,0.1953,11,0
r00611,5369,0.1702,11,0
r00612,5369,0.1541,11,0
r00613,5369,0.1499,11,0
r00614,5369,0.2223,11,0
r00615,5369,0.1677,11,0
r00616,5369,0.1581,11,0
r00617,5500,0.9757,12,1
r00618,5500,0.159,12,0
r00619,5500,0.1519,12,1
r00620,5500,0.6057,12,1
r00621,5527,0.1493,8,0
r00622,5527,0.2567,8,1
r00623,5527,0.1422,8,0
r00624,5527,0.1513,8,0
r00625,5527,0.1493,8,1
r00626,5527,0.2567,8,0
r00627,5527,0.1422,8,0
r00628,5527,0.1513,8,0
r00629,5528,0.151,9,1
r00630,5545,0.1501,9,0
r00631,5545,0.4435,9,0
r00632,5545,0.1802,9,0
r00633,5545,0.8384,9,1
r00634,5642,0.1435,6,1
r00635,5747,0.1685,12,1
r00636,5747,0.6669,12,0
r00637,5747,0.7571,12,0
r00638,5747,0.2182,12,1
r00639,5747,0.7814,12,1
r00640,5901,0.1494,10,0
r00641,5901,0.1767,10,1
r00642,5901,0.1485,10,0
r00643,5901,0.1501,10,0
r00644,6001,0.3051,13,1
r00645,6001,0.925,13,0
r00646,6001,0.9909,13,0
r00647,6027,0.1482,9,0
r00648,6027,0.9777,9,0
r00649,6027,0.1891,9,0
r00650,6027,0.1436,9,1
r00651,6111,0.4824,11,0
r00652,6111,0.5788,11,1
r00653,6160,0.6083,9,1
r00654,6160,0.1422,9,0
r00655,6160,0.8276,9,0
r00656,6161,0.4956,6,1
r00657,6161,0.9775,6,0
r00658,6161,0.3129,6,0
r00659,6278,0.1564,3,1
r00660,6295,0.1503,14,0
r00661,6295,0.5847,14,1
r00662,6295,0.3881,14,1
r00663,6295,0.4926,14,1
r00664,6355,0.3778,15,0
r00665,6380,0.1505,6,0
r00666,6461,0.9229,3,0
r00667,6461,0.1584,3,1
r00668,6502,0.3011,15,1
r00669,6561,0.1423,9,0
r00670,6561,0.4308,9,1
r00671,6561,0.1521,9,1
r00672,6561,0.7008,9,1
r00673,6561,0.5586,9,0
r00674,6561,0.1599,9,0
r00675,6562,0.1438,7,0
r00676,6562,0.4517,7,1
r00677,6562,0.1589,7,0
r00678,6562,0.1585,7,0
r00679,6562,0.9115,7,0
r00680,6562,0.1598,7,0
r00681,6562,0.1433,7,0
r00682,6562,0.1438,7,0
r00683,6562,0.4517,7,1
r00684,6562,0.1589,7,0
r00685,6562,0.1585,7,0
r00686,6562,0.9115,7,1
r00687,6562,0.1598,7,0
r00688,6562,0.1433,7,0
r00689,6596,0.5212,6,1
r00690,6596,0.2468,6,0
r00691,6655,0.5486,7,0
r00692,6655,0.9476,7,1
r00693,6655,0.1476,7,0
r00694,6704,0.1491,3,1
r00695,6828,0.6251,6,1
r00696,6828,0.6643,6,1
r00697,6828,0.1422,6,0
r00698,6858,0.1533,12,1
r00699,6858,0.2449,12,1
r00700,6858,0.1436,12,1
r00701,6865,0.9719,4,1
r00702,6865,0.9719,4,1
r00703,7042,0.1579,4,1
r00704,7042,0.1454,4,0
r00705,7042,0.1437,4,1
r00706,7150,0.6309,20,1
r00707,7150,0.1689,20,0
r00708,7362,0.15,9,0
r00709,7362,0.2333,9,1
r00710,7441,0.5284,9,1
r00711,7441,0.2535,9,0
r00712,7441,0.1956,9,0
r00713,7442,0.4029,8,1
r00714,7442,0.1934,8,1
r00715,7442,0.1765,8,0
r00716,7443,0.6235,8,0
r00717,7443,0.457,8,1
r00718,7443,0.169,8,0
r00719,7558,0.1667,6,0
r00720,7558,0.153,6,0
r00721,7558,0.1434,6,1
r00722,7571,0.1454,9,0
r00723,7571,0.2017,9,1
r00724,7636,0.6086,21,1
r00725,7636,0.5067,21,0
r00726,7636,0.9977,21,1
r00727,7636,0.1452,21,1
r00728,7638,0.1686,18,0
r00729,7638,0.9135,18,1
r00730,7638,0.1504,18,0
r00731,7638,0.594,18,0
r00732,7638,0.1489,18,0
r00733,7761,0.1465,8,0
r00734,7880,0.7298,8,0
r00735,7880,0.1456,8,0
r00736,7999,0.1488,9,0
r00737,7999,0.2461,9,1
r00738,7999,0.1902,9,0
r00739,7999,0.386,9,0
r00740,7999,0.9995,9,1
r00741,8144,0.1609,3,1
r00742,8144,0.1508,3,0
r00743,8146,0.1982,4,1
r00744,8171,0.5613,3,1
r00745,8228,0.1539,5,0
r00746,8228,0.2496,5,0
r00747,8228,0.4571,5,0
r00748,8228,0.4646,5,1
r00749,8255,0.3034,4,1
r00750,8255,0.1589,4,1
r00751,8283,0.1754,3,0
r00752,8343,0.729,3,1
r00753,8417,0.1438,6,1
r00754,8501,0.2636,9,1
r00755,8501,0.1882,9,0
r00756,8501,0.143,9,0
r00757,8528,0.1482,6,1
r00758,8528,0.162,6,1
r00759,8552,0.5013,7,1
r00760,8554,0.3377,13,1
r00761,8554,0.3377,13,1
r00762,8555,0.4224,10,1
r00763,8796,0.1441,3,1
r00764,8877,0.1661,11,1
r00765,8877,0.1646,11,1
r00766,8878,0.1923,13,0
r00767,8885,0.2293,10,1
r00768,8885,0.1526,10,0
r00769,8885,0.9128,10,0
r00770,8885,0.6702,10,1
r00771,8885,0.1579,10,1
r00772,9160,0.6455,7,1
r00773,9160,0.2658,7,0
r00774,9160,0.2152,7,0
r00775,9169,0.1633,3,1
r00776,9213,0.188,5,1
r00777,9214,0.1613,5,0
r00778,9214,0.3503,5,0
r00779,9214,0.3347,5,0
r00780,9214,0.1428,5,0
r00781,9214,0.1428,5,1
r00782,9214,0.1442,5,0
r00783,9214,0.1431,5,0
r00784,9251,0.1587,6,1
r00785,9251,0.6092,6,1
r00786,9330,0.3719,8,0
r00787,9330,0.1781,8,0
r00788,9330,0.265,8,0
r00789,9330,0.2337,8,0
r00790,9330,0.142,8,0
r00791,9330,0.4399,8,1
r00792,9330,0.4788,8,1
r00793,9381,0.9741,3,1
r00794,9382,0.4699,3,0
r00795,9382,0.5262,3,1
r00796,9382,0.1607,3,1
r00797,9383,0.817,6,1
r00798,9476,0.971,12,1
r00799,9757,0.5746,13,0
r00800,9757,0.4483,13,1
r00801,9771,0.2122,3,1
r00802,9779,0.7834,5,1
r00803,10014,0.1551,7,0
r00804,10014,0.2439,7,0
r00805,10014,0.1557,7,0
r00806,10014,0.1512,7,0
r00807,10014,0.143,7,0
r00808,10046,0.8575,15,1
r00809,10046,0.2662,15,1
r00810,10046,0.1436,15,0
r00811,10046,0.2885,15,1
r00812,10046,0.3922,15,0
r00813,10095,0.3816,13,1
r00814,10095,0.1829,13,0
r00815,10392,0.9642,8,0
r00816,10392,0.1508,8,1
r00817,10392,0.3304,8,1
r00818,10392,0.1477,8,0
r00819,10392,0.1553,8,0
r00820,10394,0.4576,10,0
r00821,10394,0.1889,10,1
r00822,10394,0.1436,10,0
r00823,10394,0.8301,10,0
r00824,10394,0.3301,10,0
r00825,10394,0.1575,10,1
r00826,10410,0.5905,7,1
r00827,10422,0.1528,12,1
r00828,10422,0.1438,12,0
r00829,10422,0.3198,12,0
r00830,10422,0.1458,12,0
r00831,10423,0.4383,11,0
r00832,10423,0.1431,11,0
r00833,10423,0.1519,11,0
r00834,10423,0.3262,11,0
r00835,10423,0.1449,11,0
r00836,10423,0.194,11,0
r00837,10423,0.3129,11,0
r00838,10423,0.3625,11,1
r00839,10423,0.7022,11,0
r00840,10434,0.9644,6,1
r00841,10434,0.3159,6,1
r00842,10484,0.1499,13,0
r00843,10484,0.7437,13,0
r00844,10484,0.1976,13,0
r00845,10484,0.9976,13,1
r00846,10484,0.2269,13,0
r00847,10484,0.1499,13,0
r00848,10484,0.7437,13,0
r00849,10484,0.1976,13,0
r00850,10484,0.9976,13,1
r00851,10484,0.2269,13,0
r00852,10485,0.2855,7,1
r00853,10485,0.4815,7,0
r00854,10485,0.1483,7,0
r00855,10485,0.1687,7,1
r00856,10492,0.9559,14,0
r00857,10492,0.1541,14,1
r00858,10700,0.1842,20,1
r00859,10700,0.1614,20,0
r00860,10700,0.2047,20,0
r00861,10700,0.3472,20,0
r00862,10700,0.3902,20,0
r00863,10700,0.1464,20,0
r00864,10832,0.57,2,1
r00865,10856,0.1707,5,1
r00866,11038,0.8976,12,1
r00867,11038,0.1421,12,0
r00868,11038,0.9498,12,0
r00869,11038,0.1423,12,1
r00870,11119,0.6803,7,1
r00871,11119,0.7277,7,1
r00872,11119,0.4616,7,1
r00873,11584,0.1755,11,0
r00874,11584,0.1829,11,1
r00875,11584,0.1527,11,0
r00876,11586,0.1556,6,1
r00877,11586,0.1609,6,0
r00878,11586,0.1735,6,1
r00879,11587,0.2078,9,1
r00880,11587,0.1607,9,1
r00881,11587,0.1889,9,1
r00882,11670,0.2986,5,1
